,duration,reward
0,12,-195.3893003520398
1,24,-225.20957973875073
2,52,-313.0284149559661
3,7,-146.72161300489114
4,9,-154.85878674123404
5,25,-292.9573534549636
6,2,-111.68081291689018
7,4,-124.57048319131891
8,31,-420.4563738995791
9,14,-182.1626935700304
10,6,-117.52790522190506
11,3,-119.53747158425134
12,26,-269.33031677838335
13,5,-120.47722078412731
14,12,-173.8501503998603
15,12,-172.47365321564988
16,19,-284.63139233338745
17,13,-175.8099371919566
18,4,-115.00384595712242
19,19,-196.38147237599662
20,17,-228.15138324210864
21,5,-129.8097706568392
22,15,-175.90546774753625
23,20,-239.55323462782297
24,2,-112.90845975877392
25,26,-223.08126387572423
26,8,-161.9243543434387
27,32,-304.29638997764505
28,26,-259.7826064667273
29,8,-153.17827199342855
30,37,-437.11226246075876
31,31,-230.0014457995599
32,26,-207.90007877531093
33,37,-330.29585609568824
34,23,-306.3546609347177
35,1,-106.39090583452892
36,29,-207.56615882944385
37,2,-111.92232805372892
38,18,-202.59996543894707
39,7,-149.78414130884707
40,12,-142.79138713274196
41,4,-123.80694240965299
42,9,-138.37186531004545
43,2,-105.70135110956045
44,15,-41.479251753076255
45,8,-149.02803381519172
46,29,-227.39268399354884
47,25,-211.04055969165918
48,1,-106.38830312703975
49,2,-114.87673941364973
50,2,-105.7015273658016
51,1,-102.76451203833048
52,1,-106.39402032204416
53,8,-155.7278809396908
54,37,-314.8603585259632
55,2,-111.91529514665598
56,45,-248.2080858432531
57,6,-119.59719465516625
58,5,-129.47469863527397
59,2,-111.76003798430587
60,1,-104.59484469384401
61,5,-134.6435257840553
62,4,-131.0646032832381
63,4,-125.13986962211601
64,6,-138.3369187809647
65,17,-58.60854046080537
66,21,-73.94556858259145
67,11,-28.92738859828329
68,32,-231.54136861245775
69,30,-263.5633435958206
70,32,-182.7882435226992
71,22,-164.47343384062611
72,46,-265.1324196863037
73,2,-114.87269631583787
74,3,-116.85217862696838
75,6,-141.09782627070226
76,30,-179.78329566476344
77,33,-290.56250053771635
78,33,-198.04319532844497
79,5,-110.3850838638396
80,21,-219.4955463500086
81,22,-176.6764062032284
82,16,-49.68565541033591
83,2,-114.87444154757392
84,2,-111.75646083011297
85,4,-130.18130236191132
86,17,-160.9601968867054
87,35,-212.76296544221134
88,35,-252.74671492226418
89,4,-109.14967753048876
90,21,-159.7325504829922
91,37,-257.5772154630632
92,20,-53.63646537247936
93,28,-180.3626431161908
94,12,-30.96713243892024
95,21,-53.24249332839649
96,23,-185.1291363305886
97,23,-165.91460522295296
98,10,-26.779465993734753
99,18,-175.7290640852391
100,19,-188.2198828828993
101,37,-227.29486436162165
102,40,-240.65696360293478
103,3,-122.57526875703603
104,10,-26.5186580697762
105,32,-194.39046314016264
106,15,-56.57521395328833
107,25,-80.23439652287566
108,4,-114.45745882207041
109,27,-173.9085050957833
110,4,-109.28635623765626
111,21,-161.8822769228809
112,2,-115.30984432742461
113,40,-307.9706781659759
114,81,-482.5695867879144
115,2,-115.32249493283175
116,13,-31.44734812925949
117,27,-175.38549850511123
118,5,-136.05998445020606
119,3,-122.57658900160375
120,21,-161.08282590949173
121,25,-182.33620611025285
122,74,-278.5267498046609
123,10,-26.48485379895892
124,12,-40.690262059308964
125,8,-131.004376299716
126,99,-238.60628696963337
127,99,-198.17761894079288
128,3,-122.41061315514534
129,48,-86.65876343528483
130,3,-107.81744683771909
131,15,-32.336719108149595
132,4,-109.41563327402208
133,99,-328.7297614885825
134,18,-66.95378724115926
135,20,-79.48552056437386
136,4,-108.85157029954546
137,15,-50.898213060368946
138,6,-115.36467019972265
139,99,-202.84121691933112
140,12,-42.08387184799529
141,18,-67.01331508668356
142,20,-76.31397126263687
143,4,-109.2884587349351
144,22,-82.29796432221751
145,99,-267.26482398737414
146,12,-31.00002866515801
147,4,-108.9753841024889
148,56,-215.7177164916958
149,21,-79.36111073490187
150,10,-26.359312193364843
151,19,-68.39493434983196
152,10,-26.507995160291138
153,99,-237.1817098160424
154,14,-50.213678011783514
155,6,-111.49224337069207
156,4,-128.525531346868
157,6,-144.65633017418872
158,4,-128.61498353404107
159,83,-294.682507604566
160,8,-140.73723594776104
161,23,-76.58265304613346
162,99,-207.32208895707748
163,19,-68.46875449967939
164,99,-197.98442975958974
165,18,-58.891525935806136
166,4,-128.4748467769444
167,99,-281.13687646045895
168,12,-39.67310526845061
169,14,-166.44773867888097
170,3,-121.82037642281739
171,93,-150.15372643046317
172,89,-179.21728371521925
173,22,-159.31283695496768
174,99,-174.07410796546625
175,99,-181.55084615491478
176,3,-121.81236786368737
177,22,-63.7306561386094
178,99,-174.53576039472117
179,71,-123.4742512432584
180,24,-54.39385542368902
181,41,-96.25654964441911
182,6,-111.3679896845378
183,15,-48.659614840797005
184,26,-58.37223688136697
185,29,-62.693091684069316
186,22,-66.56020764859942
187,3,-121.80602249974157
188,23,-72.81746747887422
189,13,-41.058263813737085
190,15,-44.6738150568222
191,26,-168.9216251632274
192,6,-111.3835696552161
193,12,-154.88401655910056
194,18,-61.824224951459264
195,17,-60.2428743410414
196,16,-50.80595772540321
197,7,-125.68895290801909
198,18,-47.0717373132956
199,17,-59.66991975529355
200,3,-121.82420670035687
201,9,-144.9006164563433
202,10,-26.37654762685156
203,12,-39.63920435325324
204,15,-45.558868864536464
205,17,-51.909199307909496
206,12,-39.677531436183244
207,23,-76.4615895700785
208,12,-44.36903649660245
209,19,-56.82846065665692
210,21,-68.18634395325036
211,10,-26.470048680592804
212,17,-59.48739618811159
213,17,-53.24749560621417
214,3,-121.80588874280245
215,10,-26.435665003895124
216,21,-63.702075547456175
217,21,-67.31807636959803
218,6,-111.48385925518308
219,10,-26.381687286000165
220,6,-111.41389180045194
221,10,-26.381609780563362
222,3,-121.83198959638855
223,17,-52.0184384695546
224,8,-140.98203610925913
225,10,-26.361498254657654
226,10,-26.433246344937928
227,3,-121.83199357739443
228,17,-49.09211504973646
229,6,-12.33558082589524
230,10,-26.404494734815785
231,3,-121.83199141780321
232,6,-12.291398299076034
233,13,-40.78409154264004
234,9,-144.9029891967666
235,8,-18.665990068824353
236,13,-40.881880162929306
237,3,-121.8131629628686
238,17,-54.98567105906431
239,6,-12.33562954166591
240,13,-40.929117939067275
241,13,-40.929249116737175
242,9,-144.8994691364849
243,6,-12.346165417076456
244,17,-51.36633743743757
245,13,-40.72697998725262
246,13,-40.79790985263704
247,12,-33.56992702550796
248,6,-12.274532070077385
249,6,-12.350893117255948
250,15,-45.817097981795804
251,13,-40.78206676194752
252,6,-12.335653104833577
253,14,-47.78683401628645
254,19,-67.18732235181629
255,13,-40.73286733512984
256,17,-59.17093079017795
257,13,-40.855477346642274
258,13,-42.871135938375126
259,10,-26.399044295164774
260,19,-65.8986203060138
261,9,-144.8624380451886
262,15,-52.057357656727795
263,13,-44.9063449230397
264,13,-40.92924308059738
265,10,-26.379065844670812
266,6,-12.425003391464687
267,11,-157.59379091619667
268,15,-43.30741659818745
269,17,-59.18301341928525
270,13,-41.71451226018929
271,15,-47.76353111262051
272,14,-44.37070783764294
273,13,-40.92581145531286
274,10,-26.369506540636042
275,15,-44.974721975434925
276,12,-30.778759506685475
277,17,-59.35576465752652
278,15,-49.01493324239494
279,6,-12.610992833886657
280,13,-40.910200891544655
281,4,-128.4601642940812
282,15,-50.519399981151565
283,13,-40.92051712085912
284,18,-55.54064982760362
285,16,-50.067159950531405
286,6,-12.509368049387326
287,6,-12.627419665038945
288,10,-26.3749670712675
289,8,-15.62759132282801
290,13,-40.91033526345992
291,15,-49.13510733261208
292,6,-12.613870019005601
293,15,-46.44275248235751
294,17,-51.81178403136394
295,8,-140.98298089449776
296,13,-40.8900409616392
297,12,-39.881385155067626
298,3,-121.82320791621325
299,13,-40.89026473314982
300,17,-59.14221781123295
301,9,-144.86241970766562
302,10,-26.405669867473552
303,18,-55.92936570947191
304,6,-12.613329623019927
305,12,-32.92053536113778
306,12,-42.036828189754736
307,3,-121.81243171827242
308,13,-40.7651014513748
309,10,-26.369472224709245
310,16,-51.62761835757807
311,3,-121.80588288366529
312,10,-26.61996318638302
313,20,-71.83592074944656
314,15,-44.494046382059096
315,10,-26.396310050626617
316,13,-40.849158888560076
317,10,-26.379014373289248
318,11,-151.7474937533683
319,9,-144.91246465276652
320,13,-42.908655887042094
321,17,-53.61909477645966
322,4,-128.47489253717444
323,4,-128.48766383704887
324,3,-121.83399263898215
325,13,-40.89039468859189
326,17,-59.144714232353074
327,3,-121.82581931135724
328,8,-140.92980896293693
329,13,-40.889966135905276
330,22,-70.5214007534024
331,13,-40.8945597356258
332,15,-48.79285775667257
333,8,-140.94070276387322
334,17,-59.51266144435653
335,17,-59.099892357487164
336,17,-57.25293996007052
337,10,-28.538967409829688
338,4,-128.47518326895286
339,15,-48.82902611512954
340,17,-59.015069305378205
341,8,-140.95600748588717
342,13,-40.93034415872549
343,13,-40.929251002230615
344,17,-57.432313621257315
345,15,-48.7400221779292
346,15,-48.740016859857796
347,6,-12.708759288427068
348,10,-26.59218831035432
349,19,-62.13776669222664
350,15,-47.07229257882339
351,4,-128.47348871044386
352,6,-12.705276473567398
353,15,-48.79085879731618
354,13,-40.892494899446405
355,19,-63.831722360744585
356,15,-48.891284249894035
357,13,-40.889868845868165
358,4,-128.46015566832813
359,9,-144.88888594406814
360,15,-48.90999393597888
361,15,-51.61991017757335
362,13,-40.920572308587076
363,17,-59.02083650415561
364,12,-41.62580533504668
365,15,-48.95275727821686
366,8,-17.240823515936963
367,4,-128.46906451912798
368,4,-128.4876708695749
369,12,-42.044799854917606
370,4,-128.4591462005128
371,12,-30.372594495484808
372,13,-40.845071858241404
373,4,-128.4601370051679
374,8,-18.073642469509558
375,19,-66.6286976098846
376,4,-128.47440686669538
377,17,-59.122499542565954
378,15,-48.9620107045422
379,8,-140.7482986475964
380,17,-59.17527007551001
381,15,-46.38164454217898
382,15,-48.85695670878975
383,4,-128.47440661753313
384,8,-140.79573682978003
385,8,-17.755898656540666
386,10,-26.4044329876609
387,13,-40.8450058718938
388,17,-59.0207386218104
389,14,-36.53519804958445
390,8,-140.80396267962038
391,4,-128.4685975492147
392,10,-26.556035935522637
393,17,-58.98939374073847
394,10,-26.509070771443636
395,6,-12.697278410223245
396,17,-52.41497336339023
397,13,-40.89908405883549
398,15,-48.88895183361069
399,15,-47.19368302101482
400,6,-12.704196600317745
401,8,-140.77306228153407
402,10,-153.08732763426744
403,10,-151.92672350415262
404,4,-128.468614963197
405,13,-40.86812485227916
406,6,-12.729540920389733
407,19,-69.70305484622773
408,15,-43.41335518576558
409,17,-53.75983778281088
410,4,-128.46499783565392
411,10,-150.93320575747538
412,8,-17.997127097907548
413,7,-14.328207010265206
414,10,-26.397453524379067
415,6,-12.697249103237668
416,10,-24.362682154650223
417,18,-59.74397438769637
418,4,-128.85399146536236
419,15,-48.22524806452445
420,17,-58.98711943073278
421,10,-26.50907884284713
422,15,-49.05210485297905
423,7,-151.57795607870804
424,17,-60.54468693354499
425,4,-128.47440583825298
426,13,-40.86817985621574
427,17,-58.949995954207445
428,4,-128.47644036127366
429,15,-48.828907954258824
430,4,-128.4744073158788
431,15,-48.98619292569073
432,17,-59.00111910623106
433,19,-66.08375267935214
