,duration,reward
0,12,-595.3892992546097
1,24,-625.2095845260329
2,52,-713.0284693147088
3,7,-546.7216130284434
4,16,-595.8132329715567
5,36,-706.7980139801602
6,2,-511.6114133988177
7,10,-566.457005859038
8,12,-604.9191076469401
9,16,-588.5755593507679
10,16,-560.0277822123703
11,30,-749.6271173017794
12,39,-804.2752257935215
13,8,-532.5643863717942
14,4,-526.8248722432542
15,34,-626.2334905954631
16,26,-750.9825176623235
17,15,-584.4870111743597
18,17,-585.8181788733096
19,6,-521.556045737726
20,18,-622.2222423927145
21,16,-594.2755636481929
22,6,-522.5226500385323
23,5,-531.4773121012405
24,3,-518.3335869827306
25,15,-565.6360274430219
26,34,-779.8177309278042
27,11,-572.68695134112
28,27,-755.9468438948595
29,19,-689.4098236083319
30,34,-786.4412566488609
31,4,-519.5069741745592
32,10,-538.8180267213037
33,9,-569.488294015384
34,37,-814.3758178294418
35,5,-531.1557011873513
36,2,-508.1780068931163
37,4,-521.458118316885
38,2,-505.7073729795276
39,3,-519.4013557181268
40,2,-506.07047628092255
41,2,-511.92421429044197
42,2,-505.70156758515776
43,2,-505.70145727961693
44,3,-513.2819016522193
45,2,-512.9110667828213
46,3,-519.6624562243561
47,3,-516.7001312791407
48,2,-512.8618219108193
49,2,-515.4050090167684
50,2,-505.69871060559444
51,2,-505.37922967797965
52,4,-524.1401987569345
53,3,-519.957442747563
54,7,-558.8908181698429
55,5,-531.5552269774576
56,7,-538.6195609105216
57,2,-508.19001762152857
58,4,-523.9332326423056
59,4,-522.0243651153596
60,10,-535.7415016668524
61,2,-513.376154707529
62,4,-531.0680992675896
63,2,-512.386439125836
64,4,-526.0567733644182
65,2,-512.6242397177789
66,2,-511.92427748541496
67,2,-508.18451274949916
68,5,-537.340355701322
69,4,-521.0581099386907
70,6,-523.6012503061462
71,2,-511.9162525474064
72,2,-513.3798213903337
73,5,-539.9974570811899
74,2,-511.6793659294751
75,8,-557.3566359426904
76,4,-524.0700420787218
77,3,-516.6939154211009
78,2,-511.9200263070637
79,2,-505.7015402163031
80,3,-522.7794620262805
81,2,-511.6051068337168
82,42,-633.9687573807621
83,2,-514.872076989503
84,2,-511.75645203049754
85,3,-521.9467033264481
86,20,-75.80911641648257
87,40,-632.6874845994653
88,37,-644.0630585476634
89,4,-509.1447294219769
90,18,-560.1870683623183
91,39,-665.4848820369066
92,3,-512.7252858945811
93,26,-585.1607022445096
94,3,-514.2201709433768
95,20,-67.56974341206308
96,4,-523.0988836582538
97,22,-566.4994445091314
98,3,-511.45512701268893
99,2,-511.6852027925155
100,6,-532.854331780565
101,45,-712.7233851104123
102,33,-645.8205022535974
103,33,-655.0699236592278
