,duration,reward
0,5,-538.2660674992471
1,18,-605.2442678870501
2,22,-569.6880590044993
3,7,-546.7474129108158
4,10,-560.7147112455772
5,52,-795.9648901394037
6,51,-826.2071890242294
7,2,-512.8652998667108
8,27,-738.3247924387096
9,40,-715.1304305630049
10,50,-626.4686072373167
11,44,-777.7241603166115
12,8,-538.2463429250025
13,83,-968.6897542340218
14,4,-524.1433255511913
15,24,-639.2247810934542
16,4,-532.8518535468928
17,4,-524.7631984454176
18,11,-531.5161321808738
19,27,-572.5400989231123
20,23,-643.1416439388481
21,2,-512.5599313636503
22,16,-557.2907404425996
23,80,-864.4140802458365
24,2,-512.7518158933577
25,7,-519.0906039666114
26,10,-580.8433092530797
27,13,-578.4950721949209
28,24,-643.6170857744169
29,42,-799.24511692857
30,4,-523.475714228865
31,9,-547.6998818171945
32,6,-522.1036753102686
33,17,-648.8151440711588
34,14,-586.8708753288402
35,4,-525.7871089862114
36,9,-544.0895745855714
37,46,-904.4316488275323
38,6,-519.7273115612244
39,12,-581.6124425542956
40,22,-574.5861114771723
41,2,-511.8140791075817
42,9,-526.0932207075192
43,48,-699.8401551095594
44,9,-546.4629514275333
45,67,-853.1896956496603
46,62,-826.7196540423796
47,99,-380.36455820899295
48,4,-527.2746582304819
49,93,-1260.071158859562
50,39,-590.6989159326041
51,12,-530.5462660798696
52,3,-520.2427387142333
53,4,-528.6621064018186
54,41,-904.5184468758653
55,7,-545.6414257316424
56,6,-536.5356753237577
57,22,-624.0408188257525
58,73,-1105.567763915753
59,7,-541.7359799936581
60,7,-533.8839706918825
61,22,-700.1812950393632
62,46,-897.6178058340463
63,42,-803.1624159353689
64,54,-900.9648573460496
65,10,-566.1464194830271
66,9,-551.3185164263008
67,12,-554.9510193970088
68,53,-934.1946476157805
69,16,-592.4950157542427
70,7,-530.2580332892676
71,70,-239.63865003722182
72,32,-725.3268246211717
73,99,-1043.0918440093283
74,22,-679.0735931038332
75,10,-562.3820359381382
76,25,-665.4280116142152
77,6,-539.7978885497503
78,10,-568.3800752381209
79,7,-518.4626226835055
80,8,-561.895435300715
81,82,-280.15019052955705
82,7,-544.0343345636551
83,7,-559.0586733328981
84,6,-536.1601707349328
85,6,-545.7003120973476
86,5,-533.3916877085669
87,11,-580.4364740868493
88,8,-546.8376144689714
89,31,-648.176469855122
90,20,-620.1110801512675
91,8,-544.4452514791639
92,9,-545.5183742239825
93,20,-624.2079284249714
94,99,-645.5378124906936
95,16,-598.814047121484
96,22,-627.1451496034338
97,2,-511.7553656152319
98,14,-562.0910252241707
99,30,-679.1288802962802
100,36,-731.890972653926
101,9,-550.5370699877701
102,8,-553.327339641224
103,10,-579.4365828379355
104,88,-1124.04773680787
105,31,-700.7645217453496
106,2,-512.7469778958268
107,3,-517.828460527478
108,22,-617.2050460611649
109,10,-561.6911926786776
110,3,-509.4152786992911
111,50,-797.966836802605
112,24,-659.6669937121736
113,2,-511.6832726050493
114,49,-756.4689412695673
115,24,-712.6535693996555
116,27,-633.4295521372356
117,2,-512.6691271278526
118,37,-796.0724044514182
119,4,-529.8650673645706
120,4,-525.6672952310586
121,2,-512.5618688092762
122,38,-800.7049760920873
123,19,-589.3720189772504
124,6,-539.5994846264407
125,13,-568.8322009074718
126,4,-527.3846812248692
127,27,-672.4975857059455
128,13,-610.3105988703331
129,10,-559.090738592768
130,4,-510.97875560346864
131,27,-635.6907163873485
132,25,-605.5517753407088
133,9,-558.4652935495122
134,18,-612.0250710711211
135,6,-541.1276411308586
136,2,-505.4860491517037
137,17,-588.12329356333
138,10,-538.1949206884811
139,15,-587.7132919426319
140,17,-597.8135962672358
141,2,-512.2557672947113
142,15,-592.5194759463621
143,99,-323.5282297478652
144,2,-512.8684069342322
145,20,-613.8962455739428
146,15,-569.3120068835607
147,3,-507.81336429477585
148,4,-523.9911450511469
149,76,-934.4964084528864
150,2,-508.17977200114944
151,5,-530.0406515535792
152,32,-643.08205404002
153,99,-380.31803101059353
154,8,-551.3919293761553
155,3,-509.7599037073951
156,75,-1297.4396179226908
157,6,-549.9610393387577
158,4,-532.1228539871871
159,15,-580.3596715578215
160,3,-519.9552694188493
161,32,-761.2633693939472
162,6,-540.6703540273991
163,54,-934.2161150732622
164,41,-782.6746934145707
165,34,-683.5217617363228
166,31,-763.5387388406775
167,22,-632.3509340003814
168,40,-787.429607745492
169,15,-597.9900341499086
170,5,-538.2630985427841
171,22,-629.3689181947359
172,12,-567.4030647999805
173,14,-568.9491931050416
174,82,-1376.995860221561
175,20,-620.9757454270868
176,2,-515.3999758436242
177,14,-588.6028203312445
178,2,-513.1135459677575
179,20,-631.5028531168747
180,4,-524.6328679843883
181,6,-536.8682217997454
182,10,-531.1207460829571
183,12,-570.4732842380657
184,6,-534.464190263336
185,3,-516.9334200180185
186,18,-617.7579299388204
187,10,-579.5409960566982
188,38,-751.08624042133
189,16,-591.9527270788786
190,16,-615.7749732953909
191,34,-788.0994863387905
192,7,-523.701426318834
193,5,-531.2646270695352
194,2,-511.6775049078689
195,6,-536.4837756614661
196,99,-455.86886574058843
197,2,-508.8981157092518
198,31,-659.046680858629
199,2,-511.6104502033743
200,4,-528.4757124325362
201,74,-926.3573679456756
202,4,-517.8201995603011
203,10,-564.0367138166752
204,8,-551.4515604972424
205,10,-567.9975052080453
206,2,-512.9087714144313
207,5,-528.9983216139914
208,3,-520.2789897828222
209,17,-614.8862930917802
210,22,-646.2860296065336
211,3,-513.9790797959162
212,42,-877.3550114496611
213,3,-519.6669778274312
214,3,-522.7754103664192
215,3,-514.4279322694765
216,7,-543.2096393295387
217,2,-512.4029896210993
218,2,-506.0731841492568
219,6,-525.4898474266454
220,15,-555.1162514496116
221,2,-508.4044584354523
222,9,-575.7224209002502
223,24,-641.0974778764722
224,2,-512.1332843836128
225,8,-532.0404882751378
226,29,-632.115851732702
227,34,-810.9648062611182
228,31,-729.3984302356708
229,6,-516.9948512163019
230,5,-523.858436498952
231,28,-710.89793737485
232,21,-48.76101056112337
233,2,-511.9308077720373
234,10,-569.7626563375836
235,23,-583.2669074622556
236,51,-953.0462681503979
237,22,-677.5430827739651
238,32,-713.0803958417786
239,14,-540.2878913728352
240,2,-512.903578750995
241,10,-555.2173574448308
242,2,-513.3876095142004
243,8,-526.7140256185486
244,16,-615.1547149342744
245,11,-573.2672694091166
246,3,-519.4321642395272
247,27,-665.1561745813165
248,2,-506.0703895609888
249,26,-576.146471549032
250,4,-527.2047575342486
251,8,-550.1882147961928
252,8,-526.0137107220892
253,2,-512.6277267087178
254,15,-578.1618169493969
255,2,-511.81730898297155
256,18,-619.134323898255
257,47,-162.7454878925884
258,3,-519.4102425769252
259,2,-508.6761727231376
260,13,-595.4797498945996
261,11,-567.3536542909521
262,2,-512.6263303101412
263,6,-537.9126682544481
264,70,-1164.2042605749239
265,14,-562.7750409057588
266,4,-512.2392315660352
267,3,-519.9515415622702
268,7,-540.1070077736831
269,2,-511.6738885135884
270,4,-524.2343733912292
271,53,-717.7439952771942
272,8,-550.8040976297309
273,30,-705.5945305513777
274,32,-655.7087218198978
275,55,-794.405506443883
276,13,-558.8096073923599
277,57,-1105.6116223181143
278,2,-512.6272316142254
279,17,-568.4729902949382
280,2,-511.922323939139
281,5,-536.6900152350482
282,5,-533.6409248689826
283,51,-810.8035260846573
284,10,-561.0319543757183
285,2,-512.5197188500675
286,26,-597.2726104964862
287,7,-524.292357641346
288,6,-530.3208399815251
289,6,-519.7393469420417
290,5,-533.8509707126766
291,27,-656.0424100603925
292,2,-506.07122183085335
293,12,-581.8709128207755
294,35,-675.9817878410237
295,2,-512.3795610080093
296,2,-511.81809312936326
297,32,-675.3409134504216
298,11,-586.1469035426097
299,2,-511.922353704684
300,71,-993.5279041251457
301,40,-739.1533281241466
302,54,-919.3707045553808
303,15,-587.682702105574
304,51,-700.033340200546
305,24,-624.4498849967612
306,12,-575.5561700781197
307,6,-546.571586611853
308,10,-561.0772940039554
309,2,-508.4010596339767
310,37,-795.1677114767559
311,6,-553.7362204937194
312,10,-549.171022863469
313,37,-816.1756633818775
314,12,-564.0316001306203
315,15,-580.7393502988791
316,9,-561.2194621974986
317,8,-531.3842040988458
318,39,-709.9563379347529
319,17,-618.6405656910634
320,6,-540.9337651107089
321,4,-521.6274498164695
322,3,-524.555349880193
323,45,-947.1244701423132
324,19,-668.1055973630225
325,99,-338.64855537536573
326,6,-543.2801987516513
327,12,-603.6415992620038
328,58,-808.3771602331244
329,32,-683.8489532323998
330,19,-610.3958968731209
331,6,-540.7224505697762
332,8,-553.5072047748176
333,5,-530.2434306473274
334,30,-716.8518773906762
335,27,-686.2661278698388
336,3,-517.9690262351069
337,3,-513.2078348803586
338,4,-530.8553459578077
339,17,-595.9058401581734
340,5,-529.9872421286747
341,17,-628.4852593552395
342,6,-541.1966620446108
343,7,-545.3244047862395
344,5,-533.035675324296
345,2,-512.007298538402
346,11,-574.9092329725546
347,7,-528.1327925669198
348,5,-523.8574734506886
349,36,-666.6714280687371
350,12,-552.3598649317826
351,6,-546.6654058510911
352,8,-528.5451839142332
353,5,-526.9494115442253
354,18,-601.8600745614256
355,7,-544.6403370541477
356,9,-553.5194901408107
357,5,-532.122315595503
358,31,-737.2303397955999
359,11,-571.8304634042365
360,31,-750.6026858113488
361,6,-536.6680787831197
362,22,-622.3598429724578
363,56,-902.7447433684918
364,11,-568.2334243514906
365,15,-589.2113514428116
366,33,-629.7633450028582
367,12,-596.1965612679987
368,3,-522.7429326925813
369,2,-512.7528905310855
370,4,-531.8258648892311
371,10,-554.093862603612
372,6,-534.1207926442387
373,11,-593.5970502823742
374,2,-506.0731266697368
375,8,-549.6761701623501
376,8,-561.1803952803853
377,5,-533.5299012875001
378,2,-512.5131295726134
379,3,-520.834843586467
380,50,-962.1963134628995
381,41,-836.2139996522715
382,2,-512.4132781112694
383,15,-623.9833182702833
384,28,-645.2410635810328
385,22,-595.888021261138
386,4,-517.6809525190167
387,33,-665.0869932796975
388,4,-525.2125473632931
389,3,-514.3080693146153
390,3,-517.5741273916291
391,14,-611.8205479873583
392,4,-517.8812598098312
393,3,-516.7020062214224
394,11,-541.8294497909778
395,11,-537.9825027725589
396,55,-912.1361639094981
397,7,-544.6624693401275
398,64,-941.1053813145561
399,30,-787.59797926239
400,24,-560.586639174423
401,3,-517.704074864797
402,6,-536.9256991211619
403,19,-635.5006570399163
404,8,-563.1457197419069
405,19,-606.3764950943844
406,63,-676.2706672846676
407,25,-643.9306459051005
408,5,-529.4553041713635
409,2,-512.8707000575827
410,13,-605.2805692721103
411,6,-536.4811070824179
412,15,-548.0057646829835
413,30,-605.3183362810454
414,23,-641.852052891558
415,10,-538.0220232516921
416,56,-642.2473605229909
417,44,-929.2978999340621
418,32,-836.9111454087421
419,3,-518.3290999133864
420,18,-639.7219753776488
421,5,-523.7118485656403
422,12,-573.596180790083
423,14,-611.3398772130823
424,27,-659.871758662233
425,31,-811.4937808803593
426,8,-547.8536850571081
427,30,-724.2519488573481
428,4,-533.1344330525878
429,35,-816.933072497341
430,2,-515.3940238715205
431,6,-536.1320740217418
432,55,-996.774645757343
433,39,-812.8539261279964
434,12,-535.2101486937049
435,3,-519.563183424859
436,5,-528.4766661216975
437,2,-512.8694616083043
438,33,-759.2399976256446
439,10,-576.1224693534348
440,14,-570.8861226448324
441,6,-536.7954391687778
442,2,-508.18470682549514
443,28,-683.9028588872673
444,2,-512.6282103237683
445,4,-523.8466510381477
446,8,-546.8468786219541
447,16,-603.9869863681329
448,21,-565.1974398670008
449,18,-625.5957276663573
450,7,-537.8788352393913
451,41,-907.5378035000389
452,42,-622.5720429742116
453,21,-628.8971058113043
454,62,-878.1173412248047
455,24,-640.1560783009953
456,2,-515.9376713709785
457,2,-512.866838373474
458,17,-592.9389892072438
459,10,-556.2332593417136
460,5,-532.1813356018847
461,48,-638.022786435219
462,16,-616.0471959933326
463,22,-709.6364690185776
464,12,-536.0367879939988
465,16,-574.076302517942
466,42,-185.98630501381868
467,10,-543.0257873386283
468,11,-550.9402084445006
469,16,-610.5008457266524
470,6,-548.481921815571
471,54,-970.1757816735444
472,12,-573.7901653674716
473,12,-602.7846365352007
474,4,-524.6424141975963
475,13,-560.8460838871944
476,20,-563.5392590610547
477,7,-518.2833192398398
478,5,-516.1085783213477
479,9,-575.2531513768649
480,5,-538.8146591513648
481,2,-511.5861795728052
482,15,-575.8320534152045
483,34,-680.5251666945114
484,11,-573.3358656799337
485,4,-525.3941883521796
486,16,-532.4291008810233
487,4,-526.0689251361209
488,4,-530.827692696655
489,4,-532.3152827509537
490,7,-527.0225959879742
491,2,-505.3466368049861
492,8,-541.4327047517002
493,3,-513.1830317371557
494,30,-698.0127768938099
495,4,-524.3912111951196
496,2,-512.5120667682836
497,38,-862.4661367231579
498,4,-521.8150642186926
499,9,-549.1452801492431
500,5,-532.6540972088167
501,43,-727.7094860175027
502,69,-917.8464334347407
503,11,-561.240099361133
