,duration,reward
0,32,-747.1932704967014
1,12,-577.6590665030249
2,50,-799.4967089372012
3,7,-546.7103029423886
4,10,-558.8369329641439
5,27,-685.6025733799975
6,3,-518.1611434204331
7,1,-506.1245499011102
8,2,-512.6672820406794
9,12,-565.3640243698364
10,2,-511.3136416274817
11,7,-541.7507955169656
12,11,-559.3478320218558
13,9,-552.152640842391
14,20,-601.0460125320673
15,25,-639.1257124578417
16,51,-725.1244337995985
17,1,-506.12461873119764
18,85,-845.6642432254087
19,84,-1006.1245936412497
20,5,-529.1351425117067
21,47,-754.3050061697606
22,99,-513.5997457395795
23,37,-655.9986132967861
24,1,-506.1270702280785
25,14,-592.6496977188339
26,1,-506.12517015555557
27,40,-771.4861287771589
28,11,-556.841444312256
29,18,-601.3201413087365
30,11,-567.8316446173611
31,71,-743.3283775397404
32,2,-512.9777937255251
33,5,-526.1655812366047
34,27,-611.2250400928772
35,99,-528.6300155735504
36,27,-682.0369332475683
37,30,-669.3086100872137
38,2,-512.9770875995671
39,51,-734.7194414800441
40,22,-645.3235686544303
41,2,-512.671493296291
42,3,-519.5395314933979
43,5,-528.8014029739484
44,1,-506.12348181889297
45,60,-754.5934099171409
46,21,-613.4506784320326
47,62,-734.6127929693855
48,1,-506.1270620455681
49,12,-561.9526447102779
50,12,-579.6716507924423
51,1,-506.1210672766485
52,67,-803.9799173345951
53,71,-734.2131273439267
54,9,-557.3054450158006
55,2,-511.3104447855607
56,1,-506.12605284198935
57,3,-517.8875013555456
58,4,-525.7593624766313
59,99,-406.7912503116553
60,57,-685.2970922211347
61,81,-819.8581744314413
62,1,-506.1276284155437
63,2,-512.9727954346827
64,99,-425.7516526427104
65,5,-533.7237601983574
66,99,-416.4400762827076
67,4,-521.056112533787
68,31,-664.7866056086477
69,8,-543.5236995578914
70,1,-506.12440434654104
71,33,-679.5529611774901
72,17,-594.8899388751502
73,12,-567.4474970866577
74,16,-576.7450939657009
75,1,-506.1275502237022
76,99,-432.1101458559197
77,1,-506.12454662697655
78,22,-613.5626613509667
79,6,-532.948894391365
80,3,-517.7280379247354
81,1,-506.12346371024057
82,3,-517.7172595200049
83,30,-678.1751301422908
84,1,-506.12486318322436
85,82,-875.4386065112276
86,1,-506.12717405212845
87,70,-858.8883440769569
88,2,-511.3142829310506
89,4,-520.6930905776348
90,4,-523.2516209519608
91,1,-506.1257719955532
92,5,-528.5651479094339
93,10,-563.5739265783407
94,26,-644.9771128538874
95,10,-553.5135558555114
96,24,-590.6181491183416
97,6,-536.3471178867928
98,8,-547.6529254088967
99,7,-546.5375286669832
100,11,-564.1385084131053
101,14,-580.1342195148399
102,5,-529.2165666703507
103,99,-416.29436238542274
104,3,-517.3255295427962
105,14,-581.8343093560173
106,9,-558.6988195335498
107,5,-530.4825116651176
108,10,-563.6875685267121
109,1,-506.1238992510695
110,2,-511.3086031597553
111,10,-549.4772828197591
112,57,-714.7696448612874
113,1,-506.12764132121515
114,1,-506.1234624266798
115,9,-553.2601745170296
116,21,-614.3992460489583
117,26,-643.679661489899
118,4,-524.8291410076642
119,1,-506.1222084452214
120,7,-547.6196969412082
121,3,-518.163242450845
122,1,-506.1245450016549
123,15,-582.076931897727
124,3,-516.5533353202169
125,1,-506.12747596196886
126,14,-585.351254427543
127,81,-801.6181973553564
128,15,-593.1176746036357
129,7,-546.9476060690131
130,4,-521.5720887242567
131,1,-506.1257696613755
132,99,-499.78410024980434
133,13,-560.4752878694112
134,9,-556.6442969947947
135,8,-537.3603763552452
136,1,-506.1279036277672
137,8,-549.9044647619169
138,3,-518.1632138555836
139,32,-695.6245185330248
140,6,-534.0155704368141
141,44,-687.8745822257927
142,7,-542.8956008431796
143,13,-572.4528081679287
144,9,-551.6414056178075
145,2,-512.9749777991456
146,10,-565.2482366200594
147,67,-809.661281101124
148,2,-511.31501570216216
149,38,-719.8752740165158
150,7,-538.0667092053964
151,3,-518.5608781454299
152,1,-506.123478303382
153,3,-518.5578538778464
154,43,-649.3283983354171
155,2,-512.9777230720226
156,7,-539.1868695318788
157,6,-534.0328489701276
158,8,-549.1568612943888
159,14,-573.4049200947248
160,22,-601.3995670235636
161,80,-868.3361084833011
162,10,-565.6505149149998
163,9,-546.4934403000626
164,39,-127.95007884804126
165,99,-370.86433005230543
166,12,-571.1191133865118
167,23,-612.3722686342945
168,10,-565.7821342879995
169,2,-511.6431887431797
170,6,-538.0484511647697
171,40,-791.0093055120566
172,99,-546.7205120524413
173,47,-678.156489745771
174,12,-573.6234204171791
175,1,-506.1239201508361
176,21,-599.7148797418046
177,1,-506.1283189742019
178,12,-576.7358916520319
179,76,-789.4295522127697
180,41,-648.875787342485
181,99,-572.9152206056003
182,68,-762.4750142249977
183,30,-651.7952895582913
184,2,-511.3165771330433
185,3,-517.9735361497399
186,4,-527.3779754689227
187,1,-506.1206720876957
188,70,-986.1003229971342
189,99,-417.38425947162733
190,5,-530.5907823273035
191,24,-634.8446168741101
192,5,-526.8059259743611
193,14,-580.7445387729508
194,1,-506.12433300373056
195,2,-512.66728377663
196,13,-577.2557849167821
197,11,-563.6137117288605
198,88,-875.2720384751462
199,4,-521.6165749290282
200,8,-547.8743712194927
201,3,-517.4837428457441
202,79,-786.2317517972136
203,12,-566.6006302171318
204,1,-506.1244044456279
205,16,-588.8261320869741
206,1,-506.1266711528285
207,8,-539.1883654901178
208,26,-620.1144357633385
209,33,-693.7732714713391
210,6,-537.6900293312403
211,1,-506.12109244468706
212,4,-522.4030199308368
213,63,-729.0244636109895
214,11,-565.732571005988
215,55,-634.4242095161871
216,3,-517.7283356974943
217,11,-559.6242415101896
218,22,-641.0708051834073
219,1,-506.12325115867026
220,11,-574.7609008512165
221,18,-595.8110642164413
222,2,-511.31375253830976
223,10,-554.95836390923
224,15,-578.1637419019647
225,1,-506.12622895849785
226,7,-537.8923861034758
227,6,-536.2551369562341
228,2,-512.6688243463951
229,32,-655.5981469252816
230,5,-526.0825349453951
231,1,-506.12657097622446
232,43,-648.6196057050927
233,59,-212.9526225885193
234,3,-518.5605241417842
235,48,-208.77213115151952
236,3,-518.0552173372653
237,14,-590.3137931310779
238,6,-532.2664234454891
239,2,-511.3158306835863
240,11,-572.4224571234024
241,34,-651.6577652680462
242,36,-695.8892548996519
243,3,-517.485930841362
244,1,-506.12453670707197
245,8,-545.63326934687
246,3,-517.7695285216515
247,15,-582.2625456844486
248,37,-668.190952197081
249,3,-518.5670876237697
250,15,-585.7252202155404
251,5,-528.4809367103995
252,5,-530.0691513344001
253,19,-597.5057702969693
254,99,-627.3239865533895
255,10,-558.288489271284
256,4,-524.1722386363971
257,1,-506.1249289633561
258,5,-526.7877537215369
259,4,-521.757580063816
260,38,-745.5507805569337
261,99,-352.23725630602326
262,3,-517.9771127103824
263,7,-544.3872585064336
264,12,-569.7797676663502
265,1,-506.12594291908084
266,18,-589.9134783637911
267,7,-537.5821424795367
268,54,-706.4628579802263
269,56,-685.0043106957237
270,8,-553.0337877145357
271,31,-639.3298034818029
272,99,-315.60591911690017
273,2,-512.9792625528412
274,18,-607.0210701168644
275,8,-544.2604177577412
276,23,-629.3255756468535
277,7,-545.0667448633278
278,1,-506.1242686217573
279,1,-506.12347598854444
280,2,-512.9728428997028
281,4,-523.7336023543874
282,3,-517.7770610135428
283,3,-518.0475199145471
284,84,-800.9917376248152
285,15,-580.0403642758336
286,5,-531.9269337829206
287,35,-665.5226317787786
288,9,-558.7062019722641
289,12,-566.6289333229597
290,2,-512.6730051982158
291,2,-511.3057752647138
292,1,-506.12606529617534
293,25,-606.3192910504999
294,99,-473.2716383201561
295,3,-517.8967387117245
296,93,-351.45880139537894
297,28,-637.4260209502584
298,10,-552.159206615901
299,11,-568.1379074931417
300,10,-556.3151877123026
301,51,-727.9887803925876
302,11,-574.8696508828358
303,26,-624.7014117689974
304,1,-506.1260328790216
305,13,-577.0044469796969
306,37,-664.6008096358732
307,12,-579.2196119628517
308,31,-642.2721128529928
309,1,-506.12614674731
310,45,-155.10304466338
311,57,-754.434697521906
312,24,-621.8353267040721
313,1,-506.12662568131134
314,8,-544.608335809054
315,4,-523.9359724627341
316,42,-703.6896825557914
317,9,-560.9018068628164
318,5,-526.1058451068589
319,22,-591.2353403336555
320,62,-663.5301810759781
321,28,-644.1582177432331
322,1,-506.12864254256635
323,20,-641.4980786932719
324,65,-809.5261258034641
325,10,-554.2973702309132
326,21,-611.4192943806829
327,1,-506.12620937375823
328,7,-540.0874284388647
329,11,-565.6707187633476
330,19,-600.1284199707832
331,22,-612.1563756733295
332,25,-73.27107761828117
333,17,-585.670538519441
334,1,-506.1270413579944
335,9,-553.0162648123886
336,14,-563.0293563067366
337,32,-651.9073401518865
338,6,-541.1561847666164
339,7,-545.1512795311041
340,18,-596.3990359511401
341,4,-525.7901726444408
342,45,-653.3657934356262
343,6,-540.9348848458208
344,12,-563.8727645339612
345,22,-586.7642643564091
346,1,-506.1264496691128
347,4,-521.8282901022104
348,1,-506.1260841596383
349,26,-618.0992466090352
350,5,-532.2110396758403
351,6,-537.7227746045492
352,1,-506.1224065548174
353,1,-506.1234935377492
354,1,-506.123500827032
355,21,-613.124974219608
356,2,-512.9764953466001
357,5,-529.5045768385233
358,5,-529.2092208648329
359,21,-627.3526153320335
360,10,-558.8753091190156
361,62,-771.7014762734012
362,12,-567.691909536821
363,2,-511.31735201719357
364,77,-807.2495695149454
365,61,-763.0780545831027
366,6,-531.7344524658447
367,11,-552.1866647859304
368,3,-518.2938460760174
369,6,-530.6711311186782
370,1,-506.1260539844013
371,33,-655.1686224403519
372,2,-512.9820001528607
373,26,-636.1885683034271
374,2,-512.9809105853114
375,57,-788.2991236709098
376,1,-506.12619153777126
377,42,-702.202591690861
378,1,-506.12642741293047
379,6,-532.482136048703
380,33,-674.0302750296108
381,55,-204.91977926029517
382,27,-599.2171466840985
383,1,-506.12752090627254
384,36,-642.1712670890113
385,7,-541.0458765782312
386,22,-611.6491018063789
387,34,-658.7955844071878
388,1,-506.1264452172213
389,2,-512.6672594634108
390,83,-268.4472183054471
391,44,-153.33434838577193
392,7,-533.7095695035874
393,2,-512.9806757502945
394,1,-506.1210741954878
395,3,-518.4035775890757
396,13,-587.6491853902336
397,1,-506.12270708042263
398,25,-629.6657971533463
399,1,-506.1263080039237
400,1,-506.12346880209566
401,93,-968.8266452188082
402,54,-726.431512737068
403,6,-538.2691597630576
404,3,-518.040119126925
405,1,-506.1235107702188
406,33,-662.7755458495315
407,29,-637.8925893320927
408,19,-596.1405284254639
409,2,-511.3137100532712
410,13,-572.2800178800435
411,3,-517.1171222190777
412,1,-506.1274762851527
413,3,-518.5577820278379
414,3,-519.7561883807689
415,4,-521.8226257616269
416,12,-566.1527848666873
417,36,-681.2634157464807
418,1,-506.1279096871308
419,70,-741.4695739826564
420,1,-506.1245036554483
421,41,-712.454863311764
422,4,-522.2734606737724
423,20,-618.154202410577
424,3,-518.1651764881095
425,1,-506.1245423131518
426,99,-348.37669405562934
427,1,-506.12486936347875
428,31,-691.8495435626774
429,13,-562.0665463198022
430,1,-506.1262551937834
431,11,-581.1282237549071
432,33,-677.3747700290469
433,70,-205.31178505906152
434,60,-886.2455562634597
435,5,-529.9999687349302
436,16,-574.2570994472279
437,1,-506.127706616422
438,57,-211.50222635343448
439,25,-626.8229638088415
440,2,-512.6721792344922
441,24,-627.169411005636
442,1,-506.12583517040434
443,27,-641.5655139928878
444,5,-527.793255475195
445,17,-596.556632274217
446,53,-206.09446560203085
447,54,-885.3840644335169
448,1,-506.1209586925625
449,32,-689.1740890359481
450,34,-654.4105190204629
451,4,-525.15177024874
452,1,-506.12219476044936
453,3,-517.7172835733975
454,41,-144.28902251762875
455,10,-557.4688542458429
456,8,-550.5892826556951
457,5,-533.406197905098
458,13,-566.6169720643238
459,14,-577.3666226275784
460,3,-518.5540116717935
461,1,-506.12348596622604
462,30,-653.6348131818836
463,9,-557.376878756739
464,75,-192.40905080415178
465,1,-506.1265647116059
466,21,-593.6314960401683
467,87,-760.3542389509331
468,13,-572.8921878498473
469,1,-506.1255174607217
470,2,-511.3085821785523
471,4,-523.4771271436217
472,3,-516.5586343152838
473,1,-506.12746344865343
474,75,-790.685961520987
475,1,-506.1265181957461
476,2,-512.6672588154171
477,1,-506.1222174367953
478,26,-630.7223483949717
479,71,-205.18441740257342
480,1,-506.1266719378089
481,2,-511.308569124498
482,4,-522.1010798076818
483,1,-506.1260429518871
484,2,-512.6672648769021
485,3,-517.472081630364
486,4,-525.1055196460059
487,18,-581.4766803089416
488,4,-522.0947696398831
489,3,-518.170422173358
490,17,-572.691837746646
491,7,-539.8869991487345
492,4,-525.9418512289175
493,4,-523.8408812688826
494,1,-506.1249354031301
495,4,-522.9024619190444
496,4,-524.8374772727947
497,4,-526.7626448203595
498,52,-871.5998759567753
499,4,-524.4294686084297
500,1,-506.12220992727134
501,63,-187.87238462666807
502,3,-518.1723433205536
503,32,-659.4610448346866
504,19,-617.2361453254149
505,29,-656.4389205331768
506,2,-511.31039577334394
507,12,-561.5973160687657
508,26,-620.8131510352262
509,62,-712.0447805545178
510,50,-181.15536000865123
511,99,-487.2710281480561
512,9,-548.1903936952649
513,80,-820.0200378499438
514,76,-271.81470093208884
515,84,-297.4067822567246
516,1,-506.1265592570128
517,3,-517.7172067088104
518,7,-540.4985180624736
519,3,-518.1754056406024
520,1,-506.1245340311463
521,19,-573.2685597127715
522,20,-604.8443775973109
523,1,-506.124442743165
524,67,-898.3158247860704
525,28,-629.6663934284288
526,3,-519.7654023185382
527,8,-540.2158044429129
528,45,-144.99732988681907
529,41,-125.33569714632725
530,3,-519.7650647479667
531,1,-506.1220699723749
532,40,-644.0993264281016
533,46,-738.8192757605188
534,8,-543.1940407177343
535,1,-506.12715734547345
536,4,-526.9011741164602
537,4,-522.7236822746265
538,1,-506.12607646389614
539,4,-520.6600909345528
540,1,-506.1279040080032
541,1,-506.12346078551894
542,24,-71.9749063760607
543,24,-635.8412463900629
544,66,-241.94290626466886
545,16,-602.361016342648
546,7,-538.9648977264901
547,11,-562.529546354802
548,8,-545.2612666866318
549,18,-604.0448151752165
550,4,-524.8357868143661
551,4,-522.0818419220589
552,53,-764.7996654975104
553,33,-670.0717364113519
554,4,-525.110766804929
555,5,-530.5161443821785
556,37,-672.7048508754344
557,3,-518.4108227744681
558,13,-573.7913349742589
559,27,-662.1298730005036
560,53,-719.5791536607829
561,1,-506.12625361677857
562,62,-264.5512001283527
563,1,-506.1263734457213
564,11,-562.3449516997484
565,1,-506.1234941905945
566,2,-511.645395782329
567,31,-656.6335361652913
568,54,-218.19585889569868
569,52,-647.2889860536632
570,34,-646.0228027066306
571,2,-511.31049611147733
572,4,-520.6931299018462
573,22,-617.210232428322
574,9,-555.1697118520956
575,1,-506.124524251962
576,5,-531.6741653143257
577,99,-324.86835804683994
578,91,-234.74922168106013
579,28,-646.6474002386655
580,5,-530.252521169496
581,11,-566.2166481558452
582,4,-522.8240759203475
583,6,-541.1657796989693
584,17,-582.5989036435534
585,5,-526.6858733834217
586,15,-568.5515574898031
587,14,-568.1633692713156
588,12,-554.559769195701
589,6,-530.642874319856
590,3,-518.9697367428004
591,47,-142.02268973926073
592,2,-511.6514218285906
593,49,-207.63370459981667
594,11,-568.0328312221225
595,7,-540.568023820622
596,8,-547.087682555961
597,87,-309.2748718948631
598,2,-511.31058998386527
599,69,-239.95285124588807
600,3,-517.7200096243844
601,60,-761.7565683241457
602,67,-211.83408965431116
603,48,-770.5013672477403
604,1,-506.1271648410823
605,8,-546.6626429874599
606,2,-512.9704007648886
607,40,-131.0232384798453
608,2,-511.3142784010684
609,1,-506.1260453827074
610,2,-511.30857680179963
611,44,-728.1203564412152
612,11,-563.0463010583854
613,3,-518.2897434602164
614,65,-227.17393227044062
615,14,-575.3119049515676
616,25,-621.5462535232393
617,2,-512.6723433830982
618,24,-646.9642435677681
619,27,-635.250008840464
620,99,-339.6586480194834
621,1,-506.1265044010399
622,20,-590.394605226838
623,19,-591.0846415156519
624,9,-551.1608925692658
625,39,-173.4021256175003
626,2,-511.3105947131691
627,60,-184.73013283660583
628,23,-608.2026437029951
629,2,-511.31357534112385
630,2,-512.6722354653429
631,99,-408.92891756902924
632,10,-549.6111101378207
633,2,-512.6715537316414
634,22,-614.6526076098125
635,3,-517.7012536162193
636,26,-631.3290150194391
637,1,-506.1266094742609
638,11,-562.1819101367797
639,8,-554.3410079494054
640,9,-559.3982281372118
641,22,-628.4792141666064
642,22,-619.0395051295297
643,1,-506.12669085539557
644,17,-586.7533351119517
645,1,-506.1244387722404
646,99,-401.88374308704124
647,1,-506.1245609864769
648,16,-591.1260396074489
649,4,-526.8321338615842
650,2,-512.9677749373413
651,99,-244.74362972292175
652,7,-541.8431677248778
653,1,-506.1274602622123
654,16,-592.3168645054564
655,73,-226.32189228879463
656,69,-228.37439890832295
657,16,-576.4600492001242
658,31,-653.230595930816
659,37,-661.9760017737547
660,3,-517.4856370460355
661,16,-585.3102817278854
662,3,-517.4839382373782
663,28,-645.3258675863617
664,36,-659.6052713622419
665,27,-637.89057152381
666,1,-506.1271080635566
667,12,-553.296428991121
668,33,-640.173718455746
669,34,-687.3503384879668
670,38,-640.0420021398298
671,37,-675.9918092512752
672,1,-506.1261503227561
673,3,-518.5578046965288
674,8,-552.8834212457194
675,2,-512.968762064788
676,2,-511.64037832932644
677,3,-518.5620981193084
678,32,-630.334568149371
679,4,-524.1532635829037
680,15,-596.5898253746406
681,31,-640.0042568036572
682,2,-512.6736683799478
683,2,-511.3057666175317
684,81,-241.2198736618572
685,36,-645.2145048042155
686,23,-83.95725124379246
687,29,-611.8579307650067
688,75,-268.58684638655296
689,4,-524.1827947882676
690,1,-506.1249076958332
691,80,-319.19699660474345
692,1,-506.12636898815714
693,3,-519.5442267170102
694,28,-590.9743212479519
695,7,-547.2076156607063
696,17,-608.5936970964026
697,42,-711.003949554148
698,99,-285.79475145426386
699,95,-433.0962800277607
700,17,-587.6882245108728
701,41,-138.78896858946786
702,6,-532.7057293341072
703,1,-506.1260503603762
704,24,-646.1896070709448
705,3,-519.9086444722594
706,10,-555.6438139644861
707,32,-695.6304287482129
708,1,-506.12601584545325
709,3,-518.1631109385795
710,28,-631.2919165358188
711,1,-506.12670797052584
712,99,-312.22709978596043
713,10,-553.1539988394522
714,1,-506.1264510673187
715,3,-519.9100280409215
716,39,-654.4282469976032
717,30,-655.7830460631534
718,2,-512.6760044606184
719,70,-244.7883730031438
720,8,-549.3118562874101
721,38,-701.7914699923354
722,24,-87.82764546806392
723,69,-223.17761042563268
724,44,-707.392225401836
725,16,-604.9603452201034
726,1,-506.12243669253326
727,5,-528.8057961639324
728,6,-533.5255630458737
729,35,-128.30152262038385
730,6,-534.1028143900963
731,19,-584.6715842490331
732,23,-629.7122948595605
733,2,-512.9749240018988
734,19,-597.060250684275
735,1,-506.12443849643927
736,35,-636.3035946459619
737,12,-568.2219048397017
738,4,-523.0040560119577
739,8,-548.4226968408825
740,20,-585.4574000367217
741,5,-529.9317232968504
742,1,-506.12453294035953
743,1,-506.12348044656386
744,10,-556.0020973109181
745,2,-511.31167085743647
746,66,-753.0784071791436
747,95,-892.8041957857674
748,1,-506.1266983441898
749,24,-611.7679048887773
750,2,-511.3169477560315
751,19,-599.7728989625754
752,5,-528.5958293271924
753,12,-561.4573691105386
754,6,-531.889573424867
755,12,-567.895036951417
756,31,-107.90999386665595
757,25,-89.24415519756488
758,28,-623.6375748532538
759,47,-739.4365490896638
760,4,-522.1672658520613
761,51,-707.6190211637152
762,13,-573.3909015877063
763,7,-536.0194076250531
764,26,-640.2460164652375
765,2,-512.6759894389962
766,16,-587.5579727331957
767,30,-602.8784922676004
768,11,-559.1652468041226
769,37,-700.2275150897561
770,18,-601.8759621596267
771,4,-520.894959036719
772,10,-557.5901235157694
773,24,-634.1852194145024
774,12,-565.8812850240646
775,31,-649.1157448668619
776,24,-598.4849108012704
777,6,-534.9639435106337
778,1,-506.12603626096904
779,3,-518.5578039766255
780,2,-512.667311796048
781,18,-603.0024969948154
782,10,-550.0640558799691
783,10,-555.7279776591664
784,7,-541.9147427772216
785,6,-533.7102662886775
786,15,-584.702591960884
787,37,-146.82616698814934
788,5,-531.3874795210037
789,26,-608.5458634375163
790,1,-506.12887087632384
791,3,-518.40343730141
792,1,-506.12350078673694
793,3,-518.5578537935398
794,34,-708.277650622732
795,10,-550.599930729295
796,4,-523.755579420922
797,28,-601.0357979417
798,9,-560.3019898161535
799,37,-162.630673451276
800,17,-595.0234021096936
